"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"1972-05-27","connecticut","new haven","Guilford","Old Quarry Road",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-05-28","connecticut","new haven","Guilford","Old Quarry Road #I",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-05-31","connecticut","new haven","Branford","0.2 Km. N. of Hoadley Neck",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-05-31","connecticut","new haven","Branford",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-06-01","connecticut","new haven","Guilford","Old Quarry Road",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1973-06-06","connecticut","new haven","Branford","0.2 Km. N. of Hoadley Neck. Strays.",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
"1998-06-10","connecticut","litchfield","Cannan Mountain ",NA,41.9847,-73.2819,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Nelson"
