"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"2006-07-19","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-07-19","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2009-07-20","massachusetts","nantucket","AmeliaDrive","Residential",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","McKennaFoster"
"2004-07-21","massachusetts","nantucket","HM02","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-21","massachusetts","nantucket","HM02","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-22","massachusetts","nantucket","SMOOTHHUMMOCKS","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-23","massachusetts","nantucket","SQUAMSWAMP","RedMapleTupeloSwamp",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-23","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2007-07-23","massachusetts","nantucket","Sesachacha","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2007-07-23","massachusetts","nantucket","Sesachacha","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster ","rudis","aphrud","HFR","MAants"
"2009-07-23","massachusetts","nantucket","NorwoodFarm","ScrubOak/Grassland Mix",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2009-07-23","massachusetts","nantucket","NorwoodFarm","ScrubOak/Grassland Mix",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2009-07-23","massachusetts","nantucket","NorwoodFarm","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-24","massachusetts","nantucket","STATEFOREST","PitchPineWhitePine",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-26","massachusetts","nantucket","SO Thicket-C","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-26","massachusetts","nantucket","RAM-5","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-26","massachusetts","nantucket","SO Thicket-A","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-26","massachusetts","nantucket","SO Thicket-B","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2007-08-01","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2007-08-01","massachusetts","nantucket","RAM-C","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2007-08-01","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-08-03","massachusetts","nantucket","RAM-C","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-08-03","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-08-03","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-08-03","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-08-03","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-08-03","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-08-03","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2004-08-04","massachusetts","nantucket","TuckernuckIsland","MixedDeciduousForest",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Collier/NLC"
"2004-08-04","massachusetts","nantucket","HM02","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2008-08-05","massachusetts","nantucket","RAM-5","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2008-08-05","massachusetts","nantucket","RAM-A","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2008-08-05","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2008-08-05","massachusetts","nantucket","RAM-C","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2008-08-05","massachusetts","nantucket","RAM-B","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2004-08-06","massachusetts","nantucket","SMOOTHHUMMOCKS","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-08-06","massachusetts","nantucket","STATEFOREST","PitchPineWhitePine",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-08-06","massachusetts","nantucket","HB03","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-08-07","massachusetts","nantucket","SQUAMSWAMP","RedMapleTupeloSwamp",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-08-09","massachusetts","nantucket","SO Thicket-B","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2005-08-09","massachusetts","nantucket","SO Thicket-A","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","MelloWeed"
"2006-08-09","massachusetts","nantucket","Madequecham","PineHeathBarren",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","McKennaFoster"
